Case,Category,Design_feature,Tier1_strategy,Tier2_strategy,Sustainability_justification,SCAMPER_technique,Creativity_justification,Link
Signify,Electronics,Circular lighting,Product efficiency,Energy consumption efficiency,Circular lighting designs can optimize light distribution and reduce energy waste by directing light more effectively.,Adapt,"The circular form is an adaptation of traditional linear or point light sources, seeking inspiration from natural or efficient patterns.",https://www.ellenmacarthurfoundation.org/circular-examples/why-buy-light-bulbs-when-you-can-buy-light-signify
Signify,Electronics,Modular equipment,Longevity and Effective Usage,Design for upgradability and adaptability,"Modularity allows for individual components to be replaced or upgraded, extending the overall lifespan of the lighting system.",Combine,"Modular equipment combines different functional units that can be assembled and reconfigured, maximizing flexibility and potential uses.",https://www.ellenmacarthurfoundation.org/circular-examples/why-buy-light-bulbs-when-you-can-buy-light-signify
Signify,Electronics,Durable equipment,Longevity and Effective Usage,Design to last,"Durability ensures that the equipment has a longer operational life, reducing the need for frequent replacements and associated waste.",Modify,The emphasis on durability involves modifying materials and construction to be stronger and more resistant to wear and tear.,https://www.ellenmacarthurfoundation.org/circular-examples/why-buy-light-bulbs-when-you-can-buy-light-signify
Signify,Electronics,Professionally managed lighting systems,Product efficiency,Change consumer behavior,"Professional management can optimize lighting usage based on occupancy and ambient light, leading to more efficient energy consumption and potentially influencing user behavior.",Adapt,"This feature adapts the concept of lighting control by introducing professional oversight and system management, moving beyond simple user operation.",https://www.ellenmacarthurfoundation.org/circular-examples/why-buy-light-bulbs-when-you-can-buy-light-signify
Signify,Electronics,AI-powered management,Product efficiency,Energy consumption efficiency,"AI can analyze usage patterns and environmental data to dynamically adjust lighting, significantly reducing energy consumption.",Adapt,AI-powered management adapts existing lighting infrastructure by integrating intelligent algorithms for optimized performance and efficiency.,https://www.ellenmacarthurfoundation.org/circular-examples/why-buy-light-bulbs-when-you-can-buy-light-signify
Signify,Electronics,IoT-enabled management,Product efficiency,Energy consumption efficiency,"IoT connectivity allows for remote monitoring and control, enabling real-time adjustments to lighting to maximize energy efficiency.",Combine,IoT-enabled management combines physical lighting hardware with digital connectivity and data processing to create a more intelligent and efficient system.,https://www.ellenmacarthurfoundation.org/circular-examples/why-buy-light-bulbs-when-you-can-buy-light-signify
Coca-Cola's Universal Bottle,"Food, Beverages and Tobacco",Universal bottle design,Dematerialization,Standardisation and modularity,"A universal bottle design reduces the variety of bottles needed, leading to less material consumption and more efficient manufacturing processes.",Combine,"This feature likely emerged from combining the idea of a single bottle format with the need to serve multiple Coca-Cola products, creating a synergistic approach to packaging.",https://www.ellenmacarthurfoundation.org/circular-examples/a-reusable-drinks-bottle-design-for-multiple-brands-universal-bottle
Coca-Cola's Universal Bottle,"Food, Beverages and Tobacco",Reusable,Circularity,Design for reuse,Making the bottle reusable directly supports a circular economy by extending the product's lifespan and reducing the need for single-use packaging.,Adapt,"The concept of reusability was likely adapted from existing reusable container systems, applying it to the beverage industry to promote sustainability.",https://www.ellenmacarthurfoundation.org/circular-examples/a-reusable-drinks-bottle-design-for-multiple-brands-universal-bottle
Coca-Cola's Universal Bottle,"Food, Beverages and Tobacco",Designed for washing off paper labels,Circularity,Enable material homogeneity,"Facilitating the removal of paper labels ensures that the bottle material can be more easily recycled or reused without contamination, promoting material homogeneity.",Substitute,"This feature involves substituting the traditional method of permanently attaching labels with a design that allows for easy label removal, making the bottle more amenable to reuse or recycling.",https://www.ellenmacarthurfoundation.org/circular-examples/a-reusable-drinks-bottle-design-for-multiple-brands-universal-bottle
Coca-Cola's Universal Bottle,"Food, Beverages and Tobacco",Designed for cleaning and refilling,Longevity and Effective Usage,Design for multiple uses,"Designing for cleaning and refilling directly enables the bottle to be used multiple times for its intended purpose, extending its effective usage period.",Adapt,"This design choice adapts the concept of reusable containers, commonly found in other industries, to the Coca-Cola bottle to facilitate repeated use.",https://www.ellenmacarthurfoundation.org/circular-examples/a-reusable-drinks-bottle-design-for-multiple-brands-universal-bottle
Coca-Cola's Universal Bottle,"Food, Beverages and Tobacco",Designed for rebranding with a fresh label,Longevity and Effective Usage,Design for upgradability and adaptability,"The ability to rebrand with a fresh label allows the bottle to be updated with new marketing or product information without requiring a new bottle, promoting adaptability and extending its useful life.",Modify,"This feature modifies the bottle's appearance by allowing for easy label changes, adding value and extending its relevance without altering the core product.",https://www.ellenmacarthurfoundation.org/circular-examples/a-reusable-drinks-bottle-design-for-multiple-brands-universal-bottle
Coca-Cola's Universal Bottle,"Food, Beverages and Tobacco",Incorporates an indirect deposit system via consumer discounts,Product efficiency,Change consumer behavior,"Offering discounts for returning bottles incentivizes consumers to participate in the deposit system, thereby changing their behavior towards more sustainable practices.",Adapt,"This feature adapts a financial incentive model, commonly used in other retail scenarios, to encourage consumer participation in a bottle return program.",https://www.ellenmacarthurfoundation.org/circular-examples/a-reusable-drinks-bottle-design-for-multiple-brands-universal-bottle
